source,country,club_slug,method,dest_logo,dest_badge,size,sha256,converted_svg_to_png
ARG_UNI.png,argentina,union-santa-fe,ARG_UNI,assets/clubs/argentina/union-santa-fe/logo.png,assets/clubs/argentina/union-santa-fe/badge.png,25508,ea5e1c5ff100d2de305bb9c573a6da4df214861d9ff7ab80c7bcce2e60cb69c2,False
france_toulouse_512x512.football-logos.cc.png,france,toulouse,football-logos.cc filename,assets/clubs/france/toulouse/logo.png,assets/clubs/france/toulouse/badge.png,45151,9efbbcaba3096af42f3db5be8ea658023cd6155b00eb1bd327ba5ccf08caccca,False
ESP_ELC.png,spain,elche,ESP_ELC,assets/clubs/spain/elche/logo.png,assets/clubs/spain/elche/badge.png,26374,bbcfbc282eec3c143cd3c915943411d8d8d8e36e7008f26e56095d7fcbc7830b,False
italy_cagliari_512x512.football-logos.cc.png,italy,cagliari,football-logos.cc filename,assets/clubs/italy/cagliari/logo.png,assets/clubs/italy/cagliari/badge.png,27869,b9c35e9cf95466be540b5c89661721399c768583a670d77b5c471e4f4c893de0,False
GER_UNB.png,germany,union-berlin,GER_UNB,assets/clubs/germany/union-berlin/logo.png,assets/clubs/germany/union-berlin/badge.png,18477,781faf6759719dba2650ca8e495c6584dd9b09b0240b64c78f007b9bcd60599f,False
URU_WAN.png,uruguay,wanderers,URU_WAN,assets/clubs/uruguay/wanderers/logo.png,assets/clubs/uruguay/wanderers/badge.png,20823,44909a6827308484e5d9585d45f484b39f3f89e23dbc3d7862bb9a4cf6ebdd5e,False
FRA_LIL.png,france,lille,FRA_LIL,assets/clubs/france/lille/logo.png,assets/clubs/france/lille/badge.png,21235,ea1cbf97225b37774e1078aeb51278ab37e6d6e3bf95799e22356b40e00f6f30,False
ESP_ATH.png,spain,athletic-bilbao,ESP_ATH,assets/clubs/spain/athletic-bilbao/logo.png,assets/clubs/spain/athletic-bilbao/badge.png,30167,16e9e2bae054deb4dae908131d183a0a05bd0b9f4def9f7a1b17547abacfa92a,False
ITA_TOR.png,italy,torino,ITA_TOR,assets/clubs/italy/torino/logo.png,assets/clubs/italy/torino/badge.png,29310,c3a2b6fd671a6060d7ba64ee3e66f729bfabb7e61bf674a52498cba9cfc6488b,False
paraguay_cerro-porteno_512x512.football-logos.cc.png,paraguay,cerro-porteno,football-logos.cc filename,assets/clubs/paraguay/cerro-porteno/logo.png,assets/clubs/paraguay/cerro-porteno/badge.png,24651,f006cdc41cf566bc8ca465eda1505611dad6b28efd1e9d90369ac924de4350cb,False
ENG_SHU.png,england,sheffield-united,ENG_SHU,assets/clubs/england/sheffield-united/logo.png,assets/clubs/england/sheffield-united/badge.png,39722,f78ad8029a8b9515afed50fd86348dae590788f613bea7d65ada372cd674a149,False
URU_RIV.png,uruguay,river-plate-montevideo,URU_RIV,assets/clubs/uruguay/river-plate-montevideo/logo.png,assets/clubs/uruguay/river-plate-montevideo/badge.png,19036,3c40e755932a4ff01ad5e1386a9534ce1b8755c3c8b6f98158eeabeca3cd34d9,False
